date,number_days,region,number_blackout_consumers,number_blackout_settlements,number_restored_consumers,number_restored_settlements,notes,link
2022-03-19,1,Луганська,98364,26,319,,,https://www.facebook.com/tovleo/posts/pfbid0hcSWyDNzXd9jFk3xNZFq9LmTYthKHGJ1CUGBwFPUqeX2GjHR65pYu22h469oTRZsl?__cft__[0]=AZXuz7TBitO_u4dOrNiJ308P5TI9xvRb7HbGFeGazwgcXFF4q76_pn8ktU2vfZzV3q5nQQuM3b6n0C2hCDH9lKOmWtYMw7dFi2E9Iw7MWCyxt_3EQzB4MfFeCNdew8tBSdum7VePHh6svhCBnBIWqzKtlmeS6ggzA7VjIwCJtjpC5AaPhGgDQV5rPvgD_1ExgKM&__tn__=%2CO%2CP-R
2022-03-19,1,Сумська,,124,,,,https://www.soe.com.ua/press-center/list-news/1336-shanovni-meshkantsi-sumshchini
2022-03-19,1,Херсонська,48190,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96--za-danimi-v%D1%96d-rda-ta-otg-19-03-2022r--na-13%3A00
2022-03-20,1,Київська,,489,59100,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-pologovomu-budinku-likarni-ta-59-100-rodinam-na-kijivshchini
2022-03-20,1,Луганська,96685,24,7868,,,https://www.facebook.com/tovleo/posts/pfbid032KDxLKuJS1uWzTG7zKthyvqbVTk72WVF1PeE37R7bUo9EpwWLnEkTfA5PQnbqJQVl?__cft__[0]=AZU82zB55hUqdAmDdXSdGPGJ6SonDjiayZKIOawJ-ckltYlP0m0OPW4RSuNyNEPHjK6lg65XxFhUExwlhuo3rxMdWoKkrBAjpHjDOWdURIljRqMRQ9H7_SO3-oLMdzFT1nus320VwrMstJYxS_4JkbYSH1lb0abGK_ocB6IISKfb3b_1xoni2KVIfxd0DlhgMcY&__tn__=%2CO%2CP-R
2022-03-20,1,Сумська,,87,,,,https://www.soe.com.ua/press-center/list-news/1337-shanovni-meshkantsi-sumshchini-2003
2022-03-21,1,Донецька,,181,18000,,,https://www.dtek-dem.com.ua/ua/news/za-dobu-dtek-donecki-elektromerezhi-povernuv-svitlo-v-18-tisyach-osel-doneckoji-oblasti
2022-03-21,1,Київська,,489,8009,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-dlya-8-000-rodin-u-39-naselenih-punktah-kijivshchini
2022-03-21,1,Луганська,105154,23,,,,https://www.facebook.com/tovleo/posts/pfbid0KvfieKjiLRi5SaKrFbhjd1nBo4RhRCTjtaQ18GbpG92U8CqpPjBob4qvzVDc6Mspl?__cft__[0]=AZXGNoMGGYrOWdgTtGEHPl23mwIi-JSYR4OH90MmAO4VxLVLrXmuaf4M9vAhjvtx1L_bZHJl-vmGtVFXnQpA5UEiA-VGY5UFIDbVViYUihFk2yCSy5o_j4qyO0l52grKn3j5o-8VBeMJRVXve1u8OPwTLAvzJCIPUpsxsy7GDmi0e0iRAZZ_e2nco9Cdv0klpmo&__tn__=%2CO%2CP-R
2022-03-21,1,Сумська,,73,,,,https://www.soe.com.ua/press-center/list-news/1338-do-uvagy-meshkanciv-sumskoy-obl
2022-03-21,1,Херсонська,45750,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96--za-danimi-v%D1%96d-rda-ta-otg-21-03-2022r--na-12-00-
2022-03-22,1,Донецька,,184,11100,,,https://www.dtek-dem.com.ua/ua/news/za-dobu-dtek-donecki-elektromerezhi-povernuv-svitlo-v-11-tisyach-osel-doneckoji-oblasti
2022-03-22,1,Київська,,496,6409,,,https://www.dtek-krem.com.ua/ua/news/dtek-povernuv-svitlo-dlya-6-400-rodin-u-19-naselenih-punktah-kijivshchini
2022-03-22,1,Луганська,96475,21,8679,,,https://www.facebook.com/tovleo/posts/pfbid0j5WscKxXZqiQwrJqzyHqX88HNJnYu9H9H82acuj4PYXc9rjcZ5t3N5oeb9Am19cWl?__cft__[0]=AZUmkD_3XLJNvqdc7ohNai476oDjKro1X9gmyKRSUJ7HSk7937fQq3EBFw0w-th6QlA_gmB7XxLf3XxC4FDB46z2tSRBm4TNp-cKgxWn0FRw2L0uVKW9YwaKxhhfJrTmuOh0n6kTdEDLDOQ_M0gkXaFaM8l0DBfpLIUVvgtCb9BehFnwa-Et7qiEu6mnc2xN48I&__tn__=%2CO%2CP-R
2022-03-22,1,Херсонська,45750,,,,,https://khoda.gov.ua/operativna-%D1%96nformac%D1%96ja-po-hersonshhin%D1%96-za-danimi-v%D1%96d-rda-ta--otg-22-03-2022r--na-12%3A00-
